GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "97000","Rocky Mountain",7,SQINC5H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",759184,772544,786268,804964,803620,805688,789208,783096,815576,828760,856852,842568,908272,946212,974096,976008,974772,994668,1003604,1029236,1031876,1041428,1035628,1054340,1039492,1050640,1049064,1062444,1107400,1116432,1147556,1169520,1196420,1209760,1232140,1236684,1264832,1272736,1297812,1285776
 "97000","Rocky Mountain",7,SQINC5H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",103748,107184,109904,110760,118608,119828,121392,127380,142432,151864,158652,164352,164340,164132,165444,169900,176540,180480,185744,190368,196880,200280,205316,210128,212608,217804,225804,233288,246188,253532,261276,265196,271460,274536,277756,283084,286344,291396,296448,300656
 "97000","Rocky Mountain",7,SQINC5H,800,"I","   Services","Thousands of dollars",380096,388568,391616,392920,395292,395232,400428,413264,429356,436056,443536,455692,467844,469480,483552,494116,506332,511660,522988,533672,553632,564964,573256,578912,580184,584228,597504,620840,644664,666756,691156,709616,727636,741364,757936,772112,794932,808980,820752,826016
 "97000","Rocky Mountain",7,SQINC5H,900,"...","  Government and government enterprises","Thousands of dollars",527024,536080,552028,570272,612744,625120,635716,638048,654444,670236,704756,753616,829144,882064,932880,974980,1019508,1044080,1062848,1070776,1028400,1027700,1026936,1031960,1082656,1088836,1101976,1112252,1145672,1158784,1173476,1191024,1249044,1268964,1291812,1308092,1295152,1318216,1344360,1375756
 "97000","Rocky Mountain",7,SQINC5H,910,"...","   Federal civilian","Thousands of dollars",227300,227824,230092,234632,245648,249868,250104,247648,252424,254620,264872,283380,332100,354868,374400,390244,424776,434032,438452,437748,411684,407908,405028,402320,396628,395376,397720,402500,404684,411708,418680,424568,441852,448164,454800,460148,464700,473428,484400,498336
 "97000","Rocky Mountain",7,SQINC5H,920,"...","   Military","Thousands of dollars",84476,86168,88308,91680,120260,125308,128384,130364,138908,148220,166104,191692,209720,234220,254816,271356,275176,284208,288728,288468,264624,261920,260096,258352,309832,306864,305444,303620,320052,319472,319992,320476,346300,347488,348524,346852,318476,318264,318936,321396
 "97000","Rocky Mountain",7,SQINC5H,930,"...","   State and local","Thousands of dollars",215248,222088,233628,243960,246836,249944,257228,260036,263112,267396,273780,278544,287324,292976,303664,313380,319556,325840,335668,344560,352092,357872,361812,371288,376196,386596,398812,406132,420936,427604,434804,445980,460892,473312,488488,501092,511976,526524,541024,556024
"Note: See the included footnote file."
"SQINC5H: Personal Income by Major Component and Earnings by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1948:Q1-1957:Q4. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
