GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "92000","Mideast",2,SQINC5H,72,"...","  Nonfarm proprietors' income","Thousands of dollars",5100060,5161140,5242184,5417564,5253216,5275708,5241916,5246060,5492184,5628036,5810036,5650656,5834764,6091784,6285016,6285028,6126956,6224672,6304248,6517672,6579292,6586776,6497800,6603296,6577692,6716216,6725588,6925292,7174756,7244692,7452068,7586560,7503964,7548768,7682168,7754588,8083028,8136936,8261300,8107356
 "92000","Mideast",2,SQINC5H,81,"[01-02]"," Farm earnings","Thousands of dollars",1057872,1219228,1325688,1199016,1004020,974316,926772,923796,911860,911120,943228,976756,1094776,1134940,1095596,1127416,1035816,1051420,1145192,1030180,1013057,1040937,1003685,933633,953685,870709,848285,782245,792117,791513,761425,739769,801365,839229,892597,859497,772172,749832,744588,716284
 "92000","Mideast",2,SQINC5H,82,"..."," Nonfarm earnings","Thousands of dollars",44550346,45091986,46413690,46797958,46027685,45584321,45273633,45062209,45908194,47899734,50464582,52430134,53973093,55765581,56569945,57470501,57741632,58196208,59374544,61856136,62574438,63495322,63500138,63254642,62729756,62774964,62979792,64432884,64904860,66574424,68173160,69751880,70545508,71771600,72699324,74399924,75785852,76335496,77113920,76755048
 "92000","Mideast",2,SQINC5H,90,"...","  Private nonfarm earnings","Thousands of dollars",39174662,39615046,40761050,40946882,40118977,39557465,39143909,38917913,39982497,41865705,44177025,45782201,46933841,48328457,48731453,49296865,49295260,49555116,50568300,52968484,53698206,54609718,54609318,54297650,53859792,53823152,53887616,55236188,55640924,57188460,58654956,60072252,60753460,61799152,62514040,64052812,65333384,65662720,66199872,65558632
 "92000","Mideast",2,SQINC5H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",94493,98833,100109,103797,110259,107679,106387,108371,114669,118769,123513,127653,126793,132761,137361,142661,143608,146124,146216,151292,155246,154898,156390,161506,163260,165408,171140,172600,167936,167448,166364,168472,176060,177560,178260,179976,178832,176272,176972,177808
 "92000","Mideast",2,SQINC5H,200,"B","   Mining","Thousands of dollars",810133,762641,854865,844321,745254,711702,609894,564330,594680,736252,773352,794344,774248,782656,809104,823212,751620,680216,703632,744180,709312,711480,727092,701552,578748,558896,551360,563124,531148,557536,567460,586552,603236,632180,615656,637996,629788,634944,646192,616544
 "92000","Mideast",2,SQINC5H,300,"C","   Construction","Thousands of dollars",2134116,2271728,2386608,2385828,2419792,2318328,2297164,2324400,2493508,2667080,2894128,3048748,3028096,3151368,3195880,3254620,3117512,3123344,3218216,3281676,3384724,3345328,3352396,3417284,3497412,3511500,3464340,3522864,3630280,3762916,3823944,3793916,3959248,4146400,4238376,4267120,4316248,4364532,4340572,4330980
 "92000","Mideast",2,SQINC5H,400,"D","   Manufacturing","Thousands of dollars",15492416,15538212,16007288,16006296,15476432,14852740,14846700,14520392,14897016,15947228,17194084,18311616,18890612,19524832,19476148,19619644,19980464,20015136,20410816,22140112,22590024,22973632,22771348,22127228,21661804,21447124,21253568,21955444,22011788,22737796,23196760,23957480,24253916,24607028,24830388,25825340,26184728,26049588,26070100,25484492
 "92000","Mideast",2,SQINC5H,500,"E","   Transportation and public utilities","Thousands of dollars",4209568,4140768,4341724,4337360,4166960,4341492,4128152,4010912,4153372,4280108,4537236,4633032,4836656,5091804,4987072,5059040,5175624,5143820,5321040,5415252,5406460,5626192,5654136,5632136,5503076,5465432,5490536,5535012,5594800,5769320,5955780,6082872,6246236,6310528,6236124,6412876,6570320,6660432,6725960,6678344
 "92000","Mideast",2,SQINC5H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",8737532,8903308,9072948,9242432,9121204,9132572,8975856,8935300,9130440,9317856,9667828,9597456,9918104,10249876,10486348,10530792,10293888,10490900,10593160,10852292,10939284,11065760,11050624,11229804,11331532,11412372,11408880,11545740,11606144,11742828,12078360,12316772,12461016,12612376,12829008,12893316,13285164,13377144,13634096,13536796
