GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "49000","Utah",7,SQINC5H,300,"C","   Construction","Thousands of dollars",46344,49476,52276,52256,49344,47460,47136,47736,53368,56888,61372,64400,65660,68228,69216,70504,63288,63544,65464,66728,62520,61792,61844,62996,64884,65068,64156,65160,82132,84960,86340,85648,93372,97628,99816,100556,102268,103560,103088,102796
 "49000","Utah",7,SQINC5H,400,"D","   Manufacturing","Thousands of dollars",90160,90372,93076,93164,100496,96480,96432,94148,94480,101012,108812,115544,124632,128648,128276,129348,130424,130812,133452,144752,149636,152044,150620,146328,146084,144784,143436,148192,159904,164960,168144,173456,182264,184816,186360,193908,211784,210720,210908,206012
 "49000","Utah",7,SQINC5H,500,"E","   Transportation and public utilities","Thousands of dollars",78788,77472,81288,81200,81572,85016,80748,78364,79592,81932,86772,88540,92884,97832,95836,97300,105388,104832,108520,110416,111552,116064,116644,116232,114544,113776,114316,115292,112368,115892,119616,122124,124968,126204,124692,128232,133264,135124,136508,135560
 "49000","Utah",7,SQINC5H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",140576,143156,145796,149080,149328,149696,146760,145724,153312,155892,161264,158928,169472,176100,180968,181508,183348,187108,188888,193704,197188,199204,198416,201940,197568,199476,199288,201808,210324,212324,218248,222400,227856,230412,234532,235532,241272,242904,247684,245624
 "49000","Utah",7,SQINC5H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",20400,21088,21624,21788,22992,23220,23476,24540,26852,28480,29692,30772,29732,29776,30056,30900,32440,33140,34084,34932,36432,37104,38004,38856,41080,42072,43564,44884,48024,49332,50772,51504,51260,51916,52540,53548,53504,54404,55340,56164
 "49000","Utah",7,SQINC5H,800,"I","   Services","Thousands of dollars",66968,68456,69016,69260,68432,68440,69348,71564,74080,75236,76536,78620,81332,81616,84052,85892,87788,88724,90728,92608,95540,97512,98984,99972,102432,103148,105492,109620,114152,118116,122432,125680,127844,130224,133100,135600,142152,144664,146784,147704
 "49000","Utah",7,SQINC5H,900,"...","  Government and government enterprises","Thousands of dollars",126840,128696,132260,136488,137404,139948,141752,141544,155460,157892,164712,174660,203668,216052,227788,237484,248808,254352,258364,259860,240996,240532,240096,240848,235712,237048,240128,242992,251196,254772,258564,262728,258148,262644,267796,271816,276276,281944,288392,296016
 "49000","Utah",7,SQINC5H,910,"...","   Federal civilian","Thousands of dollars",70548,70716,71420,72824,75640,76932,77012,76256,86812,87576,91096,97460,121572,129912,137048,142840,157816,161260,162900,162652,143564,142244,141232,140300,129004,128596,129364,130916,132120,134408,136692,138612,137484,139456,141508,143184,148492,151280,154796,159252
 "49000","Utah",7,SQINC5H,920,"...","   Military","Thousands of dollars",11096,11320,11784,12456,11440,12068,12312,12296,15484,16308,18348,20984,23376,26272,28688,30608,26484,27328,27732,27688,27548,27244,27040,26840,31828,31500,31360,31196,35768,35712,35768,35800,30704,30780,30860,30696,28520,28508,28576,28792
 "49000","Utah",7,SQINC5H,930,"...","   State and local","Thousands of dollars",45196,46660,49056,51208,50324,50948,52428,52992,53164,54008,55268,56216,58720,59868,62052,64036,64508,65764,67732,69520,69884,71044,71824,73708,74880,76952,79404,80880,83308,84652,86104,88316,89960,92408,95428,97936,99264,102156,105020,107972
"Note: See the included footnote file."
"SQINC5H: Personal Income by Major Component and Earnings by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1948:Q1-1957:Q4. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
